"Code","Libellé","Stock.site","PVTTC","DATE_CREATION","FOURNISSEUR_NOM","FOURNISSEUR_CODE","FOURNISSEUR_REFERENCE"
"2000767000006","BLOUSON CHAR US (REPRO) 18506100","17.000","119.5","15/11/2023","STURM","10000014","18506100"
"2000767020080","BLOUSON CHAR US (REPRO) 18506100 36/KAKI","2.000","119.5","15/11/2023","STURM","10000014","18506100"
"2000767030089","BLOUSON CHAR US (REPRO) 18506100 38/KAKI","2.000","119.5","15/11/2023","STURM","10000014","18506100"
"2000767040088","BLOUSON CHAR US (REPRO) 18506100 40/KAKI","4.000","119.5","15/11/2023","STURM","10000014","18506100"
"2000767050087","BLOUSON CHAR US (REPRO) 18506100 42/KAKI","1.000","119.5","15/11/2023","STURM","10000014","18506100"
"2000767060086","BLOUSON CHAR US (REPRO) 18506100 44/KAKI","2.000","119.5","15/11/2023","STURM","10000014","18506100"
"2000767070085","BLOUSON CHAR US (REPRO) 18506100 46/KAKI","2.000","119.5","15/11/2023","STURM","10000014","18506100"
"2000767080084","BLOUSON CHAR US (REPRO) 18506100 48/KAKI","2.000","119.5","15/11/2023","STURM","10000014","18506100"
"2000767090083","BLOUSON CHAR US (REPRO) 18506100 50/KAKI","1.000","119.5","15/11/2023","STURM","10000014","18506100"
"2000767100089","BLOUSON CHAR US (REPRO) 18506100 52/KAKI","1.000","119.5","15/11/2023","STURM","10000014","18506100"
"2000809000001","BLOUSON POLAIRE DCA BLPOF","21.000","45","11/01/2024","DCA","10000015","BLPOF"
"2000809460089","BLOUSON POLAIRE DCA BLPOF 3XL/KAKI","","45","11/01/2024","DCA","10000015","BLPOF"
"2000809460027","BLOUSON POLAIRE DCA BLPOF 3XL/NOIR","1.000","45","11/01/2024","DCA","10000015","BLPOF"
"2000809430082","BLOUSON POLAIRE DCA BLPOF L/KAKI","2.000","45","11/01/2024","DCA","10000015","BLPOF"
"2000809430020","BLOUSON POLAIRE DCA BLPOF L/NOIR","2.000","45","11/01/2024","DCA","10000015","BLPOF"
"2000809420083","BLOUSON POLAIRE DCA BLPOF M/KAKI","2.000","45","11/01/2024","DCA","10000015","BLPOF"
